XY
1,1
1.0306,1.0891
1.06238,1.1764
1.09535,1.2619
1.12947,1.3456
1.16475,1.4275
1.20117,1.5076
1.23871,1.5859
1.27738,1.6624
1.31714,1.7371
1.358,1.81
1.39994,1.8811
1.44294,1.9504
1.48701,2.0179
1.53211,2.0836
1.57825,2.1475
1.62541,2.2096
1.67357,2.2699
1.72274,2.3284
1.77288,2.3851
1.824,2.44
1.87608,2.4931
1.9291,2.5444
1.98307,2.5939
2.03795,2.6416
2.09375,2.6875
2.15045,2.7316
2.20803,2.7739
2.2665,2.8144
2.32582,2.8531
2.386,2.89
2.44702,2.9251
2.50886,2.9584
2.57153,2.9899
2.63499,3.0196
2.69925,3.0475
2.76429,3.0736
2.83009,3.0979
2.89666,3.1204
2.96396,3.1411
3.032,3.16
3.10076,3.1771
3.17022,3.1924
3.24039,3.2059
3.31123,3.2176
3.38275,3.2275
3.45493,3.2356
3.52775,3.2419
3.60121,3.2464
3.6753,3.2491
3.75,3.25
3.8253,3.2491
3.90118,3.2464
3.97764,3.2419
4.05467,3.2356
4.13225,3.2275
4.21037,3.2176
4.28901,3.2059
4.36817,3.1924
4.44784,3.1771
4.528,3.16
4.60864,3.1411
4.68974,3.1204
4.7713,3.0979
4.85331,3.0736
4.93575,3.0475
5.01861,3.0196
5.10187,2.9899
5.18553,2.9584
5.26958,2.9251
5.354,2.89
5.43878,2.8531
5.5239,2.8144
5.60936,2.7739
5.69515,2.7316
5.78125,2.6875
5.86764,2.6416
5.95433,2.5939
6.04129,2.5444
6.12852,2.4931
6.216,2.44
6.30371,2.3851
6.39166,2.3284
6.47982,2.2699
6.56819,2.2096
6.65675,2.1475
6.74548,2.0836
6.83439,2.0179
6.92345,1.9504
7.01266,1.8811
7.10199,1.81
7.19145,1.7371
7.28102,1.6624
7.37068,1.58591
7.46043,1.5076
7.55024,1.4275
7.64012,1.34561
7.73005,1.26191
7.82001,1.1764
7.91,1.08911
7.99999,1.00001
